experiment,sample,condition,treatment,conc,a,b,c
2021-11-22,,,,0,0.0002,0.0007,-0.0009
2021-11-22,,,,0.03125,0.0227,0.0172,0.0185
2021-11-22,,,,0.0625,0.0448,0.0463,0.0409
2021-11-22,,,,0.125,0.0989,0.0955,0.0957
2021-11-22,,,,0.25,0.2077,0.204,0.2014
2021-11-22,,,,0.5,0.3707,0.3868,0.3753
2021-11-22,,,,1,0.7354,0.7337,0.7201
2021-11-22,,,,2,1.3273,1.3082,1.3431
2021-11-22,1,control,DMSO,,0.0253,0.026,0.0286
2021-11-22,2,control,AZD3965,,0.0275,0.0281,0.029
2021-11-22,3,control,VB124,,0.0324,0.0319,0.0315
2021-11-22,4,control,AZD/VB,,0.0339,0.0331,0.0347
2021-11-22,5,tgfb,DMSO,,0.031,0.0309,0.0293
2021-11-22,6,tgfb,AZD3965,,0.0357,0.0347,0.0345
2021-11-22,7,tgfb,VB124,,0.0396,0.0404,0.0397
2021-11-22,8,tgfb,AZD/VB,,0.0378,0.038,0.0372
2021-11-28,,,,0,0.0012,0.0002,-0.0014
2021-11-28,,,,0,0.0049,0.0011,0.0017
2021-11-28,,,,0.03125,0.0222,0.0203,0.0202
2021-11-28,,,,0.0625,0.0483,0.0498,0.053
2021-11-28,,,,0.125,0.1047,0.1018,0.1002
2021-11-28,,,,0.25,0.2152,0.2095,0.206
2021-11-28,,,,0.5,0.4068,0.3987,0.3905
2021-11-28,,,,1,0.7718,0.7626,0.7862
2021-11-28,1,control,DMSO,,0.044,0.0415,0.0392
2021-11-28,2,control,AZD3965,,0.0448,0.0449,0.0437
2021-11-28,3,control,VB124,,0.0499,0.0494,0.0477
2021-11-28,4,control,AZD/VB,,0.0547,0.053,0.0528
2021-11-28,5,tgfb,DMSO,,0.0544,0.0504,0.0493
2021-11-28,6,tgfb,AZD3965,,0.0553,0.0539,0.0523
2021-11-28,7,tgfb,VB124,,0.0602,0.0608,0.058
2021-11-28,8,tgfb,AZD/VB,,0.0619,0.0626,0.0621
2021-11-30,,,,0,0.0007,0.0001,-0.0008
2021-11-30,,,,0.03125,0.0187,0.0544,0.0141
2021-11-30,,,,0.0625,0.0394,0.0357,0.0391
2021-11-30,,,,0.125,0.0943,0.0836,0.0894
2021-11-30,,,,0.25,0.1785,0.175,0.1753
2021-11-30,,,,0.5,0.3545,0.3812,0.3535
2021-11-30,,,,1,0.6566,0.6759,0.6675
2021-11-30,,,,2,1.2476,1.2162,1.1939
2021-11-30,1,control,DMSO,,0.0506,0.049,0.0499
2021-11-30,2,control,AZD3965,,0.0546,0.0562,0.0549
2021-11-30,3,control,VB124,,0.0565,0.0553,0.0564
2021-11-30,4,control,AZD/VB,,0.0566,0.0558,0.0538
2021-11-30,5,tgfb,DMSO,,0.0511,0.0538,0.053
2021-11-30,6,tgfb,AZD3965,,0.0589,0.0585,0.0574
2021-11-30,7,tgfb,VB124,,0.0596,0.0655,0.0585
2021-11-30,8,tgfb,AZD/VB	,,0.0615,0.0613,0.0616
2021-12-04,,,,0,0.0002,0.0012,-0.0014
2021-12-04,,,,0.03125,0.023,0.0198,0.0191
2021-12-04,,,,0.0625,0.0617,0.0418,0.043
2021-12-04,,,,0.125,0.0899,0.087,0.0852
2021-12-04,,,,0.25,0.1817,0.1709,0.17
2021-12-04,,,,0.5,0.3664,0.3277,0.3267
2021-12-04,,,,1,0.6399,0.6223,0.6025
2021-12-04,,,,2,1.1832,1.1485,1.1273
2021-12-04,1,control,DMSO,,0.0434,0.0428,0.044
2021-12-04,2,control,AZD3965,,0.046,0.0476,0.0483
2021-12-04,3,control,VB124,,0.0501,0.05,0.0515
2021-12-04,4,control,AZD/VB,,0.0535,0.0516,0.0539
2021-12-04,5,tgfb,DMSO,,0.0516,0.0528,0.0492
2021-12-04,6,tgfb,AZD3965,,0.0548,0.0541,0.0546
2021-12-04,7,tgfb,VB124,,0.0559,0.0585,0.0582
2021-12-04,8,tgfb,AZD/VB,,0.0637,0.0634,0.0645
