Resource,Designation,Source,Identifiers,Notes
antibody,HRP-anti-Rabbit IgG,Cell Signaling Technologies,7074,1:5000
antibody,HRP-anti-Mouse IgG,Cell Signaling Technologies,7076,1:5000
antibody,anti-MCT1,Thermo,PA5-72957,1:1000 WB
antibody,anti-MCT4,abcam,ab244385,1:2000 WB
antibody,anti-α-SMA,abcam,ab32575,1:2000 WB
antibody,anti-Col1a1,,,
,,,,
,,,,
,,,,
,,,,
,,,,
siRNA,siMCT1,Dharmacon,L-007402-00-0005,
siRNA,siMCT4,Dharmacon,L-005126-02-0005,
siRNA,siCTL,Dharmacon,D-001810-10-05,
,,,,
chemical,AZD3965,Medkoo Biosciences,206040,
chemical,AR-C155858,Tocris Bioscience,4960,
chemical,VB124,Vettore,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
antibody,anti-Smad3,abcam,ab40854,
antibody,anti-pSmad3,abcam,ab52903,
antibody,anti-ERK,Cell Signaling Technologies,4696S,
antibody,anti-pERK,Cell Signaling Technologies,4370S,
antibody,anti-HIF-1α,BD Biosciences,610958,1:1000 WB
